vacancy_name,vacancy_salary,min_salary,max_salary,currency_salary,vacancy_link,vacancy_source
Business Analyst,2 500 – 5 000 USD,2500.0,5000.0,USD,https://spb.hh.ru/vacancy/76980765?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst (СберБизнес),,,,,https://spb.hh.ru/vacancy/76820052?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик AdTech,,,,,https://spb.hh.ru/vacancy/76736768?from=vacancy_search_list&query=Data+Analyst,hh.ru
Web analyst developer,,,,,https://spb.hh.ru/vacancy/73313775?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior Analyst / Head of Analytical department,,,,,https://spb.hh.ru/vacancy/76217620?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик,15 000 – 15 000 руб.,15000.0,15000.0,руб.,https://spb.hh.ru/vacancy/76465128?from=vacancy_search_list&query=Data+Analyst,hh.ru
Инженер-аналитик данных,50 000 – 150 000 руб.,50000.0,150000.0,руб.,https://spb.hh.ru/vacancy/76994619?from=vacancy_search_list&query=Data+Analyst,hh.ru
Marketing analyst,,,,,https://spb.hh.ru/vacancy/77090849?from=vacancy_search_list&query=Data+Analyst,hh.ru
Digital Data Analyst,,,,,https://spb.hh.ru/vacancy/75578672?from=vacancy_search_list&query=Data+Analyst,hh.ru
Web & Ecom analyst/Веб аналитик/ecom аналитик,,,,,https://spb.hh.ru/vacancy/76672212?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data аналитик,,,,,https://spb.hh.ru/vacancy/76956135?from=vacancy_search_list&query=Data+Analyst,hh.ru
Team Lead Fraud Analyst,,,,,https://spb.hh.ru/vacancy/70701008?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик данных / Data Scientist (Middle),140 000 – 200 000 руб.,140000.0,200000.0,руб.,https://spb.hh.ru/vacancy/73052685?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst (Crypto/FinTech),,,,,https://spb.hh.ru/vacancy/76747851?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior Sales Operations Analyst / Старший аналитик продаж,от 95 000 руб.,95000.0,,руб.,https://spb.hh.ru/vacancy/77064914?from=vacancy_search_list&query=Data+Analyst,hh.ru
Ведущий продуктовый аналитик (Ценообразование),,,,,https://spb.hh.ru/vacancy/76333967?from=vacancy_search_list&query=Data+Analyst,hh.ru
System Analyst,,,,,https://spb.hh.ru/vacancy/70588457?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst в блок Управление Благосостоянием,,,,,https://spb.hh.ru/vacancy/76830337?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик-программист (Data Engineer),100 000 – 200 000 руб.,100000.0,200000.0,руб.,https://spb.hh.ru/vacancy/76287517?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик фрод-мониторинга / Fraud Prevention Specialist,2 000 – 3 000 USD,2000.0,3000.0,USD,https://spb.hh.ru/vacancy/76770965?from=vacancy_search_list&query=Data+Analyst,hh.ru
"Data analyst/Data Scientist в ML-команду трайба ""Платежи и переводы""",,,,,https://spb.hh.ru/vacancy/76727275?from=vacancy_search_list&query=Data+Analyst,hh.ru
Chief Data Scientist / DS Team Lead,,,,,https://spb.hh.ru/vacancy/75959822?from=vacancy_search_list&query=Data+Analyst,hh.ru
[Senior SA] Системный/Бизнес Аналитик NBA Platform/DataFlow,250 000 – 300 000 руб.,250000.0,300000.0,руб.,https://spb.hh.ru/vacancy/76870259?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик отдела продаж / Sales Analyst,,,,,https://spb.hh.ru/vacancy/76962523?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data-аналитик,до 120 000 руб.,,120000.0,руб.,https://spb.hh.ru/vacancy/75783908?from=vacancy_search_list&query=Data+Analyst,hh.ru
